일자,시가,고가,저가,종가,등락,종가변화,등락률,거래량,미결제,증감,거래대금,코스피200,현물등락,현물변화,Basis,연도,월,일,요일,5MA,10MA,15MA,20MA,25MA,30MA,35MA,40MA,45MA,50MA,55MA,60MA,BB_M,BB_L,BB_H,ATR,fast_K,fast_D,slow_K,slow_D,종가예측,타겟변수5,타겟변수2,타겟변수3
2007-04-03,190.15,190.75,189.3,190.65,1,0.85,0.45,160576,94372,-1068,15261945.0,189.12,1,0.56,1.53,2007,4,3,1,189.08,188.79999999999998,187.8066666666667,187.1074999999999,186.21200000000005,186.7916666666667,186.67714285714297,186.48749999999984,185.6966666666669,185.0090000000001,184.49272727272728,183.92916666666667,187.1074999999999,191.78356165820566,182.43143834179415,1.4499999999999886,52.23287671232869,53.66508532710468,51.388140161725,39.7426555772404,2.549999999999983,2.0,1.0,1.0
2007-04-04,191.7,193.55,191.45,193.2,1,2.55,1.34,135758,94695,323,13070644.0,191.77,1,2.65,1.43,2007,4,4,2,190.28000000000003,189.42,188.5,187.6299999999999,186.40600000000003,186.94833333333338,186.96142857142866,186.70749999999984,186.04333333333358,185.3230000000001,184.7236363636364,184.185,187.6299999999999,192.58308516294028,182.67691483705954,2.9000000000000057,32.199999999999996,52.05347242387889,48.542713567839144,43.007136328673965,-0.39999999999997726,0.0,0.0,0.0
2007-04-05,193.3,193.55,192.7,192.8,-1,-0.4,-0.21,99642,92740,-1955,9621061.0,191.41,-1,0.36,1.39,2007,4,5,3,191.03000000000003,189.84,188.95666666666668,188.1074999999999,186.79000000000005,187.08000000000004,187.2014285714287,186.88749999999985,186.3588888888891,185.6330000000001,184.9409090909091,184.42583333333332,188.1074999999999,193.1236082628888,183.091391737111,0.8500000000000227,32.13333333333333,50.34895629484664,45.364705882352915,45.30409184206211,0.3499999999999943,0.0,1.0,0.0
2007-04-06,193.55,193.75,192.25,193.15,1,0.35,0.18,115210,92615,-125,11117637.0,191.63,1,0.22,1.52,2007,4,6,4,191.92000000000002,190.29500000000002,189.49000000000004,188.52499999999992,187.20800000000003,187.17000000000004,187.39285714285725,187.06874999999985,186.71555555555577,185.8830000000001,185.19545454545454,184.7208333333333,188.52499999999992,193.76688596030183,183.283114039698,1.5,32.19166666666667,43.3087181996086,39.49897750511247,45.625574090072554,1.8499999999999943,1.0,1.0,1.0
2007-04-09,194.0,195.55,193.85,195.0,1,1.85,0.96,123239,96122,3507,12008023.0,193.85,1,2.22,1.15,2007,4,9,0,192.96000000000004,190.93500000000003,190.0066666666667,188.90499999999992,187.89600000000002,187.3266666666667,187.60571428571438,187.32624999999985,187.047777777778,186.1710000000001,185.46454545454543,185.02083333333331,188.90499999999992,194.85725742225654,182.9527425777433,2.4000000000000057,24.999999999999964,34.751575342465785,33.106960950764005,43.580299613558694,0.09999999999999432,0.0,1.0,0.0
2007-04-10,194.85,195.3,194.35,195.1,1,0.1,0.05,124275,95867,-255,12108949.0,193.55,-1,0.3,1.55,2007,4,10,1,193.85000000000002,191.46500000000003,190.48333333333338,189.3174999999999,188.45600000000002,187.48500000000004,187.8000000000001,187.57374999999985,187.3055555555558,186.5120000000001,185.81272727272724,185.27249999999998,189.3174999999999,195.79078721502256,182.84421278497726,0.950000000000017,24.69620253164555,29.244240506329163,28.946587537091986,39.09198908863209,1.8499999999999943,1.0,1.0,1.0
2007-04-11,195.85,197.7,195.8,196.95,1,1.85,0.95,153551,95272,-595,15117391.0,195.27,1,1.72,1.68,2007,4,11,2,194.6,192.44000000000003,191.14666666666668,190.0249999999999,189.024,187.77166666666668,188.04142857142867,187.91624999999985,187.5844444444447,186.89900000000011,186.16636363636363,185.54666666666665,190.0249999999999,196.5913816840634,183.45861831593638,2.5999999999999943,23.87272727272727,27.57878596087462,27.392211404728787,34.86188865601002,0.05000000000001137,0.0,1.0,0.0
2007-04-12,196.55,198.25,196.25,197.0,1,0.05,0.03,200423,92148,-3124,19766990.0,196.81,1,1.54,0.19,2007,4,12,3,195.44,193.23500000000007,191.70666666666668,190.5774999999999,189.574,188.23166666666668,188.2742857142858,188.23124999999987,187.83777777777803,187.2670000000001,186.52454545454546,185.8158333333333,190.5774999999999,197.5473202800783,183.6076797199215,2.0,23.734939759036113,25.899107246015177,25.751633986928095,30.93927427692505,0.19999999999998863,0.0,1.0,0.0
2007-04-13,197.55,198.05,196.3,197.2,1,0.2,0.1,173031,87935,-4213,17053059.0,195.85,-1,0.96,1.35,2007,4,13,4,196.25000000000003,194.08500000000006,192.28000000000003,191.1799999999999,190.07,188.71500000000003,188.46714285714293,188.49999999999986,188.08888888888916,187.66900000000012,186.82545454545456,186.11666666666667,191.1799999999999,198.25682652634336,184.10317347365643,1.75,26.648648648648727,24.79050364241159,24.86759142496848,28.012997060896254,1.3500000000000227,1.0,1.0,1.0
2007-04-16,197.6,198.6,197.1,198.55,1,1.35,0.68,117418,90739,2804,11626545.0,197.1,1,1.25,1.45,2007,4,16,0,196.96000000000004,194.96000000000006,192.94333333333336,191.7449999999999,190.51600000000002,189.4066666666667,188.70285714285723,188.77499999999986,188.39666666666693,188.03900000000013,187.1518181818182,186.42249999999999,191.7449999999999,199.2895972303474,184.20040276965238,1.5,25.132911392405045,24.817085920892605,24.974842767295605,26.386573424202574,-0.4000000000000057,0.0,0.0,0.0
2007-04-17,199.0,199.2,197.55,198.15,-1,-0.4,-0.2,143653,93025,2286,14242232.0,196.57,-1,0.53,1.58,2007,4,17,1,197.57000000000005,195.71000000000004,193.50000000000003,192.2549999999999,190.968,189.975,188.92571428571435,189.02124999999984,188.68444444444467,188.3320000000001,187.51727272727274,186.79249999999996,192.2549999999999,200.09275612355822,184.4172438764416,1.6499999999999773,34.46086956521739,26.770019327606974,26.349734042553205,25.867202725294817,0.5999999999999943,1.0,1.0,0.0
2007-04-18,198.8,199.4,198.2,198.75,1,0.6,0.3,118384,94586,1561,11764014.0,197.31,1,0.74,1.44,2007,4,18,2,197.93000000000006,196.26500000000004,194.27000000000004,192.84249999999992,191.606,190.50833333333333,189.2228571428572,189.27749999999986,189.02888888888913,188.6190000000001,187.9018181818182,187.14666666666662,192.84249999999992,200.78255667484436,184.90244332515547,1.25,33.40336134453788,28.67614614196909,28.151558073654417,26.019072059079946,-2.75,-2.0,0.0,-1.0
2007-04-19,198.75,198.85,194.75,196.0,-1,-2.75,-1.38,211336,93785,-801,20754841.0,194.59,-1,2.72,1.41,2007,4,19,3,197.73000000000008,196.58500000000006,194.73333333333338,193.21249999999992,192.00799999999998,190.93333333333334,189.5885714285715,189.45624999999984,189.2866666666669,188.8270000000001,188.21818181818182,187.45833333333331,193.21249999999992,201.00850943801598,185.41649056198386,4.099999999999994,35.000000000000036,30.92915819016188,30.061349693251575,26.881015200344642,2.6500000000000057,2.0,1.0,1.0
2007-04-20,196.65,198.7,196.65,198.65,1,2.65,1.35,150047,93109,-676,14856277.0,197.24,1,2.65,1.41,2007,4,20,4,198.02000000000007,197.13500000000005,195.3966666666667,193.71499999999992,192.548,191.39499999999998,190.04428571428576,189.66124999999982,189.557777777778,189.0820000000001,188.60999999999999,187.7583333333333,193.71499999999992,201.5546495625057,185.87535043749415,2.6999999999999886,52.973333333333336,36.1940951270988,34.30915371329883,28.769327658010713,1.25,1.0,1.0,1.0
2007-04-23,199.95,201.4,199.15,199.9,1,1.25,0.63,166652,91030,-2079,16696534.0,198.62,1,1.38,1.28,2007,4,23,0,198.2900000000001,197.62500000000006,196.07000000000005,194.27999999999992,193.05399999999997,191.81166666666664,190.67571428571432,189.90124999999983,189.83222222222244,189.38600000000008,188.9709090909091,188.07999999999996,194.27999999999992,202.19590005520195,186.36409994479789,2.75,41.645833333333236,39.496679515284434,38.665377176015504,31.507434539754694,1.299999999999983,1.0,1.0,1.0
2007-04-24,199.85,201.5,199.05,201.2,1,1.3,0.65,188471,94774,3744,18861920.0,200.02,1,1.4,1.18,2007,4,24,1,198.90000000000012,198.23500000000004,196.77333333333337,194.8499999999999,193.58399999999997,192.28999999999996,191.25000000000003,190.17249999999981,190.11888888888913,189.7060000000001,189.2927272727273,188.4658333333333,194.8499999999999,203.0444782435457,186.6555217564541,2.4499999999999886,38.69230769230777,40.342967140702505,39.762845849802424,34.19005690120454,-1.1999999999999886,-1.0,0.0,-1.0
2007-04-25,201.3,201.3,198.75,200.0,-1,-1.2,-0.6,221822,93381,-1393,22184202.0,198.43,-1,1.59,1.57,2007,4,25,2,199.1500000000001,198.54000000000002,197.22666666666672,195.48999999999992,194.10399999999998,192.8633333333333,191.74285714285716,190.4637499999998,190.3744444444447,190.04100000000008,189.57636363636365,188.83916666666664,195.48999999999992,203.1508093567019,187.82919064329795,2.5500000000000114,38.461538461538545,41.35460256410264,40.7331975560082,36.7063847976753,1.0999999999999943,1.0,1.0,1.0
2007-04-26,202.0,202.25,201.0,201.1,1,1.1,0.55,154578,94526,1145,15579409.0,199.75,1,1.32,1.35,2007,4,26,3,200.17000000000007,198.95000000000005,197.78000000000003,196.09249999999992,194.60399999999998,193.3683333333333,192.25285714285718,190.91124999999982,190.64666666666693,190.3750000000001,189.85818181818183,189.21416666666664,196.09249999999992,203.51233649981182,188.672663500188,2.25,38.673076923077005,42.08921794871804,41.63561076604561,39.0212370122341,-1.6500000000000057,-1.0,0.0,-1.0
2007-04-27,200.05,200.65,198.85,199.45,-1,-1.65,-0.82,205620,92069,-2457,20520429.0,198.28,-1,1.47,1.17,2007,4,27,4,200.3300000000001,199.175,198.2,196.62999999999994,195.03799999999995,193.84499999999997,192.6714285714286,191.3299999999998,190.84666666666692,190.6350000000001,190.1045454545455,189.58666666666664,196.62999999999994,203.3162309420371,189.94376905796278,2.25,38.35576923076931,39.16570512820523,38.95507812500007,39.950421894574355,0.5,0.0,1.0,0.0
2007-04-30,199.0,199.95,198.0,199.95,1,0.5,0.25,140698,95603,3534,13992792.0,198.55,1,0.27,1.4,2007,4,30,0,200.3400000000001,199.31500000000003,198.53,197.1374999999999,195.49199999999993,194.26833333333332,193.03000000000003,191.8837499999998,191.0611111111114,190.88300000000015,190.3818181818182,189.91833333333335,197.1374999999999,203.14756830679633,191.12743169320348,1.9499999999999886,38.45192307692316,38.52692307692322,38.45192307692318,39.90773107475589,0.8500000000000227,1.0,1.0,0.0
2007-05-02,201.3,201.45,200.1,200.8,1,0.85,0.43,140130,95841,238,14073044.0,199.86,1,1.31,0.94,2007,5,2,2,200.26000000000008,199.58,198.91,197.64499999999992,195.93199999999993,194.69666666666666,193.42857142857144,192.3762499999998,191.29333333333358,191.13300000000015,190.66545454545457,190.20666666666665,197.64499999999992,203.03015503366123,192.25984496633862,1.5,38.6153846153847,38.511538461538606,38.61538461538472,39.67823882787235,1.3999999999999773,1.0,1.0,1.0
2007-05-03,201.75,202.2,201.25,202.2,1,1.4,0.7,97323,94946,-895,9813227.0,200.67,1,0.81,1.53,2007,5,3,3,200.7000000000001,199.925,199.26000000000002,198.09499999999994,196.53199999999993,195.20333333333332,193.98285714285717,192.86249999999978,191.60111111111138,191.40700000000015,191.01000000000002,190.50333333333336,198.09499999999994,203.42000555964495,192.76999444035494,1.3999999999999773,32.61290322580651,37.341811414392204,37.444444444444535,39.020488205559616,0.4000000000000057,0.0,1.0,0.0
2007-05-04,202.2,202.7,201.65,202.6,1,0.4,0.2,104484,95419,473,10561199.0,201.56,1,0.89,1.04,2007,5,4,4,201.00000000000006,200.58499999999998,199.63333333333333,198.58499999999995,197.07399999999996,195.67,194.45857142857145,193.3462499999998,192.0322222222225,191.68200000000016,191.34090909090912,190.7866666666667,198.58499999999995,203.65598038893717,193.51401961106274,1.049999999999983,51.291139240506475,39.865423877878094,39.33980582524282,38.56132721739906,1.8499999999999943,1.0,1.0,1.0
2007-05-07,203.05,205.05,203.05,204.45,1,1.85,0.91,108993,98556,3137,11126388.0,203.57,1,2.01,0.88,2007,5,7,0,202.00000000000006,201.16499999999996,200.11666666666667,199.14999999999992,197.70399999999995,196.1983333333333,195.01000000000005,193.8374999999998,192.5155555555558,191.96200000000016,191.66818181818186,191.09583333333336,199.14999999999992,204.18921464220827,194.11078535779157,2.450000000000017,40.89,40.37227003172423,40.009784735812225,38.772268539561495,-0.3499999999999943,0.0,0.0,0.0
2007-05-08,204.35,205.2,204.0,204.1,-1,-0.35,-0.17,153669,98930,374,15722620.0,203.51,-1,0.06,0.59,2007,5,8,1,202.83,201.58499999999995,200.48666666666665,199.60499999999993,198.27599999999995,196.71499999999997,195.49142857142863,194.25499999999982,193.10000000000028,192.23800000000017,191.96909090909097,191.41916666666668,199.60499999999993,204.70937376949084,194.50062623050903,1.1999999999999886,40.82,40.8458854163396,40.256410256410334,39.13316597545892,2.0999999999999943,2.0,1.0,1.0
