date,fa_num_rate,fa_Votes_rate,time_Allday,time_Event,time_month,time_Quarter,USD,EUR,GBP,JPY,AUD,CAD,NZD,CNY,CHF,All
2007-03-03,-0.11489361702127672,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2007-03-05,0.81866112131409,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
2007-03-06,-6.153588939339208,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0
2007-03-07,2.298614964162325,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0
2007-03-08,40.855612690467815,0.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,4.0,0.0,2.0,5.0,0.0,1.0,0.0
2007-03-09,-20.40918653576438,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
2007-03-10,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2007-03-12,11.051338961510531,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,1.0,1.0,1.0,4.0,0.0,0.0
2007-03-13,0.8413422321097528,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0
2007-03-14,-6.63100358422939,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0
2007-03-15,33.38320271682341,0.0,1.0,0.0,0.0,0.0,6.0,8.0,2.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0
2007-03-16,13.950672228461414,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
2007-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-03-19,-7.2738910127457945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
2007-03-20,26.301474575605358,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,3.0,1.0,3.0,1.0,0.0,1.0,0.0
2007-03-21,-0.3548027190778781,-9.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0
2007-03-22,6.403060822925345,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
2007-03-23,-2.5864879074658256,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2007-03-24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2007-03-26,-3.616062364031907,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2007-03-27,0.4830876277962468,0.0,1.0,0.0,0.0,0.0,3.0,3.0,4.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0
2007-03-28,-10.040590089246708,0.0,1.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2007-03-29,-8.977729215229216,0.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
2007-03-30,11.676334776334778,0.0,0.0,0.0,0.0,0.0,7.0,5.0,1.0,8.0,1.0,3.0,2.0,0.0,0.0,0.0
2007-03-31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-02,185.95405950557975,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,5.0,0.0,0.0,2.0,1.0,0.0
2007-04-03,-27.62285497111584,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0
2007-04-04,24.166754716650882,0.0,1.0,0.0,0.0,0.0,5.0,5.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
2007-04-05,0.08221520309074204,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0
2007-04-06,3.141304347826086,0.0,6.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
2007-04-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-09,-0.02307692307692313,0.0,7.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
2007-04-10,4.808101265822786,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,4.0,3.0,0.0,1.0,1.0,1.0,0.0
2007-04-11,47.97383177570094,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0
2007-04-12,2.2164841253994205,0.0,0.0,0.0,0.0,0.0,7.0,4.0,2.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0
2007-04-13,38.33085714285714,0.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0
2007-04-14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2007-04-15,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2007-04-16,2.366756756756753,0.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
2007-04-17,-21.121801356445474,0.0,0.0,0.0,0.0,0.0,7.0,5.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
2007-04-18,-2.734352017848028,9.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0
2007-04-19,11.112692307692305,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,2.0,3.0,0.0,4.0,1.0,0.0
2007-04-20,-0.03572502210433193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,0.0
2007-04-21,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-23,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2007-04-24,-13.831388035204828,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0
2007-04-25,5.755109911527547,0.0,3.0,0.0,0.0,0.0,6.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
2007-04-26,268.02222222222224,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0
2007-04-27,-40.43205510261382,0.0,1.0,0.0,0.0,0.0,6.0,5.0,0.0,11.0,0.0,1.0,0.0,0.0,2.0,0.0
2007-04-30,-8.572132455336847,0.0,1.0,0.0,0.0,0.0,5.0,6.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0
2007-05-01,-447.0615420472691,0.0,5.0,0.0,0.0,0.0,3.0,4.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0
2007-05-02,-1.8584840069843938,0.0,2.0,0.0,0.0,0.0,6.0,4.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0
2007-05-03,-5.203158358860116,0.0,2.0,0.0,0.0,0.0,6.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0
2007-05-04,-0.06958626442794136,0.0,2.0,0.0,0.0,0.0,4.0,5.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0
2007-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2007-05-06,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-07,4.72622294272243,0.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0
2007-05-08,23.425,0.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0
2007-05-09,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
2007-05-10,33.59072959648892,0.0,0.0,0.0,0.0,0.0,7.0,6.0,6.0,4.0,2.0,2.0,3.0,0.0,2.0,0.0
2007-05-11,-30.52972972972973,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
2007-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2007-05-14,-74.99140866873066,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0
2007-05-15,2.915515165204494,0.0,0.0,0.0,0.0,0.0,9.0,5.0,4.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0
2007-05-16,7.508319355660598,0.0,0.0,0.0,0.0,0.0,7.0,4.0,5.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0
2007-05-17,26.108516483516482,0.0,3.0,0.0,0.0,0.0,5.0,3.0,0.0,5.0,2.0,4.0,1.0,1.0,1.0,0.0
2007-05-18,5.270979620661827,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0
2007-05-21,5.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
2007-05-22,6.766231663816092,0.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2007-05-23,14.3,1.1250000000000004,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2007-05-24,24.099940013890382,0.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0
2007-05-25,-0.7532030401737241,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0
2007-05-28,0.8333333333333335,0.0,5.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2007-05-29,13.482807955718174,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0,2.0,0.0
2007-05-30,-7.665658814797451,0.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0
2007-05-31,5.5644337750533595,0.0,0.0,0.0,0.0,0.0,8.0,4.0,6.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0
2007-06-01,-102.00254248176337,0.0,0.0,0.0,0.0,0.0,12.0,7.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0
2007-06-02,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2007-06-04,1.1000477713002215,0.0,2.0,0.0,0.0,0.0,1.0,6.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0
2007-06-05,24.296819960965113,0.0,1.0,0.0,0.0,0.0,2.0,6.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
2007-06-06,13.37557413600892,0.0,0.0,1.0,0.0,0.0,6.0,4.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0
2007-06-07,19.36457649781943,0.0,0.0,2.0,0.0,0.0,4.0,1.0,2.0,1.0,3.0,0.0,4.0,0.0,1.0,1.0
2007-06-08,-26.379168293138225,0.0,0.0,3.0,0.0,0.0,2.0,4.0,2.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0
2007-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-11,-12.772727272727275,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0
2007-06-12,-20.19038807198715,0.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0
2007-06-13,11.506748153806978,0.0,0.0,0.0,0.0,0.0,10.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0
2007-06-14,-9.90428007889546,0.0,0.0,0.0,0.0,0.0,7.0,6.0,3.0,0.0,2.0,0.0,3.0,1.0,4.0,0.0
2007-06-15,-3.92450241302369,0.0,0.0,0.0,0.0,0.0,10.0,4.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0
2007-06-18,8.476625452001871,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
2007-06-19,-1.3908308747902343,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2007-06-20,-39.90730994152047,9.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0
2007-06-21,-16.410013330196815,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0,3.0,0.0,0.0,3.0,0.0
2007-06-22,5.7154240692986065,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
2007-06-25,0.12222509034589579,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-26,-0.730415884076522,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
2007-06-27,-64.17133333333334,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0
2007-06-28,-10.351312576312576,0.0,1.0,0.0,0.0,0.0,5.0,7.0,2.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0
2007-06-29,-72.65643266298949,0.0,1.0,0.0,0.0,0.0,9.0,4.0,6.0,6.0,1.0,2.0,1.0,0.0,1.0,0.0
2007-07-02,-3.438849883786264,0.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,3.0,1.0,0.0,2.0,1.0,0.0
2007-07-03,-36.60781310237703,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0
2007-07-04,-2.367723884879794,0.0,2.0,0.0,0.0,0.0,2.0,5.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
